TRANSFER_ID,PAYER_ACCOUNT,PAYEE_ACCOUNT,CHANNEL,AMOUNT,CURRENCY,PAYER_COUNTRY,PAYEE_COUNTRY,BOOKED_DATE,BOOKED_AT
TX-000661,ACC-1043,ACC-1143,card,361.06,EUR,IT,PL,2026-09-02,2026-09-02 06:11:23
TX-000662,ACC-1077,ACC-1017,cash_deposit,102.44,EUR,IT,IT,2026-09-02,2026-09-02 06:10:33
TX-000663,ACC-1142,ACC-1138,wire,182.88,EUR,DE,IT,2026-09-02,2026-09-02 20:22:58
TX-000664,ACC-1058,ACC-1053,card,163.64,EUR,NL,DE,2026-09-02,2026-09-02 16:08:34
TX-000665,ACC-1088,ACC-1083,wire,596.61,EUR,ES,NL,2026-09-02,2026-09-02 00:54:03
TX-000666,ACC-1080,ACC-1029,card,396.08,EUR,NL,FR,2026-09-02,2026-09-02 11:00:53
TX-000667,ACC-1132,ACC-1018,cash_deposit,103.60,EUR,FR,FR,2026-09-02,2026-09-02 20:18:08
TX-000668,ACC-1028,ACC-1060,card,59.06,EUR,FR,NL,2026-09-02,2026-09-02 21:38:34
TX-000669,ACC-1144,ACC-1063,wire,562.26,EUR,FR,ES,2026-09-02,2026-09-02 18:22:31
TX-000670,ACC-1013,ACC-1139,card,107.13,EUR,ES,FR,2026-09-02,2026-09-02 21:54:21
TX-000671,ACC-1140,ACC-1088,wire,197.54,EUR,PL,ES,2026-09-02,2026-09-02 11:24:33
TX-000672,ACC-1081,ACC-1144,wire,31.66,EUR,NL,FR,2026-09-02,2026-09-02 15:10:15
TX-000673,ACC-1048,ACC-1031,wire,194.58,EUR,PL,PL,2026-09-02,2026-09-02 06:32:32
TX-000674,ACC-1046,ACC-1111,card,56.97,EUR,NL,IT,2026-09-02,2026-09-02 21:27:36
TX-000675,ACC-1076,ACC-1058,wire,121.44,EUR,NL,NL,2026-09-02,2026-09-02 12:14:45
TX-000676,ACC-1060,ACC-1135,card,805.59,EUR,NL,DE,2026-09-02,2026-09-02 19:15:28
TX-000677,ACC-1133,ACC-1101,card,90.15,EUR,IT,PL,2026-09-02,2026-09-02 19:39:18
TX-000678,ACC-1117,ACC-1104,card,533.02,EUR,IT,PL,2026-09-02,2026-09-02 10:44:22
TX-000679,ACC-1021,ACC-1035,wire,54.99,EUR,PL,ES,2026-09-02,2026-09-02 20:53:52
TX-000680,ACC-1074,ACC-1048,card,57.99,EUR,ES,PL,2026-09-02,2026-09-02 01:28:22
TX-000681,ACC-1101,ACC-1095,wire,576.26,EUR,PL,IT,2026-09-02,2026-09-02 16:55:31
TX-000682,ACC-1088,ACC-1068,cash_deposit,38.24,EUR,ES,PL,2026-09-02,2026-09-02 07:09:48
TX-000683,ACC-1021,ACC-1025,card,920.27,EUR,PL,FR,2026-09-02,2026-09-02 14:38:40
TX-000684,ACC-1042,ACC-1031,cash_deposit,212.25,EUR,ES,PL,2026-09-02,2026-09-02 12:01:32
TX-000685,ACC-1147,ACC-1026,cash_deposit,152.79,EUR,DE,PL,2026-09-02,2026-09-02 13:51:50
TX-000686,ACC-1045,ACC-1027,wire,129.37,EUR,FR,ES,2026-09-02,2026-09-02 19:16:56
TX-000687,ACC-1025,ACC-1094,wire,32.26,EUR,FR,ES,2026-09-02,2026-09-02 13:52:10
TX-000688,ACC-1094,ACC-1006,wire,183.26,EUR,ES,ES,2026-09-02,2026-09-02 10:32:59
TX-000689,ACC-1148,ACC-1011,cash_deposit,657.78,EUR,PL,NL,2026-09-02,2026-09-02 09:17:40
TX-000690,ACC-1116,ACC-1101,crypto,160.21,EUR,DE,PL,2026-09-02,2026-09-02 17:44:59
TX-000691,ACC-1013,ACC-1114,wire,112.18,EUR,ES,PL,2026-09-02,2026-09-02 07:27:25
TX-000692,ACC-1096,ACC-1022,cash_deposit,409.91,EUR,FR,FR,2026-09-02,2026-09-02 06:33:50
TX-000693,ACC-1016,ACC-1123,card,321.46,EUR,ES,ES,2026-09-02,2026-09-02 17:23:22
TX-000694,ACC-1054,ACC-1148,wire,105.70,EUR,FR,PL,2026-09-02,2026-09-02 01:52:53
TX-000695,ACC-1032,ACC-1064,cash_deposit,91.38,EUR,DE,DE,2026-09-02,2026-09-02 16:53:19
TX-000696,ACC-1149,ACC-1062,wire,166.91,EUR,FR,PL,2026-09-02,2026-09-02 03:53:27
TX-000697,ACC-1088,ACC-1083,card,43.05,EUR,ES,NL,2026-09-02,2026-09-02 04:05:46
TX-000698,ACC-1095,ACC-1078,wire,130.39,EUR,IT,IT,2026-09-02,2026-09-02 17:05:44
TX-000699,ACC-1118,ACC-1061,wire,173.44,EUR,FR,FR,2026-09-02,2026-09-02 05:24:35
TX-000700,ACC-1036,ACC-1143,wire,133.51,EUR,ES,PL,2026-09-02,2026-09-02 13:44:49
TX-000701,ACC-1145,ACC-1003,card,116.55,EUR,FR,IT,2026-09-02,2026-09-02 00:29:30
TX-000702,ACC-1003,ACC-1137,wire,74.43,EUR,IT,IT,2026-09-02,2026-09-02 02:57:02
TX-000703,ACC-1006,ACC-1068,card,158.91,EUR,ES,PL,2026-09-02,2026-09-02 22:17:57
TX-000704,ACC-1120,ACC-1084,card,38.51,EUR,FR,NL,2026-09-02,2026-09-02 11:54:12
TX-000705,ACC-1027,ACC-1049,cash_deposit,57.67,EUR,ES,PL,2026-09-02,2026-09-02 22:21:40
TX-000706,ACC-1032,ACC-1127,card,35.10,EUR,DE,DE,2026-09-02,2026-09-02 23:27:10
TX-000707,ACC-1013,ACC-1148,cash_deposit,223.49,EUR,ES,PL,2026-09-02,2026-09-02 01:13:05
TX-000708,ACC-1131,ACC-1127,card,397.93,EUR,FR,DE,2026-09-02,2026-09-02 22:42:27
TX-000709,ACC-1070,ACC-1068,wire,54.13,EUR,ES,PL,2026-09-02,2026-09-02 14:39:58
TX-000710,ACC-1106,ACC-1063,crypto,131.90,EUR,NL,ES,2026-09-02,2026-09-02 17:31:08
TX-000711,ACC-1145,ACC-1025,card,436.47,EUR,FR,FR,2026-09-02,2026-09-02 16:47:11
TX-000712,ACC-1018,ACC-1075,card,225.80,EUR,FR,PL,2026-09-02,2026-09-02 12:42:52
TX-000713,ACC-1130,ACC-1061,crypto,44.21,EUR,PL,FR,2026-09-02,2026-09-02 04:29:19
TX-000714,ACC-1077,ACC-1038,cash_deposit,15.07,EUR,IT,NL,2026-09-02,2026-09-02 14:30:20
TX-000715,ACC-1108,ACC-1057,cash_deposit,76.37,EUR,NL,ES,2026-09-02,2026-09-02 13:28:01
TX-000716,ACC-1048,ACC-1102,wire,598.06,EUR,PL,NL,2026-09-02,2026-09-02 00:53:40
TX-000717,ACC-1007,ACC-1124,cash_deposit,402.79,EUR,PL,ES,2026-09-02,2026-09-02 10:55:11
TX-000718,ACC-1083,ACC-1071,card,126.72,EUR,NL,NL,2026-09-02,2026-09-02 19:51:43
TX-000719,ACC-1142,ACC-1075,wire,98.54,EUR,DE,PL,2026-09-02,2026-09-02 18:19:30
TX-000720,ACC-1082,ACC-1083,wire,53.49,EUR,IT,NL,2026-09-02,2026-09-02 05:23:25
TX-000721,ACC-1063,ACC-1116,cash_deposit,46.17,EUR,ES,DE,2026-09-02,2026-09-02 13:08:58
TX-000722,ACC-1049,ACC-1067,cash_deposit,233.43,EUR,PL,FR,2026-09-02,2026-09-02 08:50:21
TX-000723,ACC-1123,ACC-1022,cash_deposit,162.17,EUR,ES,FR,2026-09-02,2026-09-02 05:03:29
TX-000724,ACC-1086,ACC-1024,crypto,51.23,EUR,NL,ES,2026-09-02,2026-09-02 09:03:43
TX-000725,ACC-1047,ACC-1038,wire,301.71,EUR,IT,NL,2026-09-02,2026-09-02 01:07:19
TX-000726,ACC-1043,ACC-1148,cash_deposit,150.19,EUR,IT,PL,2026-09-02,2026-09-02 21:58:07
TX-000727,ACC-1080,ACC-1137,wire,208.66,EUR,NL,IT,2026-09-02,2026-09-02 23:50:04
TX-000728,ACC-1139,ACC-1005,card,56.26,EUR,FR,IT,2026-09-02,2026-09-02 06:11:17
TX-000729,ACC-1029,ACC-1116,card,157.10,EUR,FR,DE,2026-09-02,2026-09-02 12:35:30
TX-000730,ACC-1021,ACC-1000,card,834.41,EUR,PL,NL,2026-09-02,2026-09-02 08:05:33
TX-000731,ACC-1106,ACC-1110,card,44.00,EUR,NL,IT,2026-09-02,2026-09-02 23:17:10
TX-000732,ACC-1093,ACC-1130,wire,245.43,EUR,NL,PL,2026-09-02,2026-09-02 10:34:38
TX-000733,ACC-1121,ACC-1026,card,55.48,EUR,DE,PL,2026-09-02,2026-09-02 06:05:53
TX-000734,ACC-1090,ACC-1129,wire,48.88,EUR,NL,PL,2026-09-02,2026-09-02 22:02:52
TX-000735,ACC-1015,ACC-1071,card,74.89,EUR,DE,NL,2026-09-02,2026-09-02 15:07:22
TX-000736,ACC-1049,ACC-1059,cash_deposit,175.95,EUR,PL,PL,2026-09-02,2026-09-02 07:49:03
TX-000737,ACC-1096,ACC-1021,card,130.81,EUR,FR,PL,2026-09-02,2026-09-02 22:32:37
TX-000738,ACC-1035,ACC-1007,wire,72.14,EUR,ES,PL,2026-09-02,2026-09-02 12:40:32
TX-000739,ACC-1014,ACC-1089,wire,265.12,EUR,PL,NL,2026-09-02,2026-09-02 06:12:20
TX-000740,ACC-1004,ACC-1075,wire,79.15,EUR,PL,PL,2026-09-02,2026-09-02 14:31:08
TX-000741,ACC-1059,ACC-1080,wire,108.36,EUR,PL,NL,2026-09-02,2026-09-02 22:44:48
TX-000742,ACC-1112,ACC-1061,cash_deposit,198.22,EUR,DE,FR,2026-09-02,2026-09-02 18:31:39
TX-000743,ACC-1068,ACC-1109,card,103.05,EUR,PL,PL,2026-09-02,2026-09-02 19:05:13
TX-000744,ACC-1021,ACC-1118,card,130.88,EUR,PL,FR,2026-09-02,2026-09-02 12:40:07
TX-000745,ACC-1006,ACC-1040,wire,21.13,EUR,ES,IT,2026-09-02,2026-09-02 13:39:10
TX-000746,ACC-1022,ACC-1066,wire,224.06,EUR,FR,DE,2026-09-02,2026-09-02 14:02:34
TX-000747,ACC-1039,ACC-1116,card,77.94,EUR,FR,DE,2026-09-02,2026-09-02 08:00:09
TX-000748,ACC-1112,ACC-1109,wire,181.34,EUR,DE,PL,2026-09-02,2026-09-02 13:06:59
TX-000749,ACC-1130,ACC-1052,crypto,99.56,EUR,PL,DE,2026-09-02,2026-09-02 08:25:24
TX-000750,ACC-1010,ACC-1120,cash_deposit,60.22,EUR,ES,FR,2026-09-02,2026-09-02 09:47:43
TX-000751,ACC-1120,ACC-1092,crypto,61.73,EUR,FR,IT,2026-09-02,2026-09-02 05:20:32
TX-000752,ACC-1035,ACC-1028,crypto,46.26,EUR,ES,FR,2026-09-02,2026-09-02 09:07:19
TX-000753,ACC-1020,ACC-1025,wire,538.81,EUR,IT,FR,2026-09-02,2026-09-02 21:32:46
TX-000754,ACC-1074,ACC-1001,wire,112.47,EUR,ES,FR,2026-09-02,2026-09-02 21:08:41
TX-000755,ACC-1002,ACC-1075,wire,296.67,EUR,ES,PL,2026-09-02,2026-09-02 09:24:34
TX-000756,ACC-1005,ACC-1010,card,1789.47,EUR,IT,ES,2026-09-02,2026-09-02 15:53:31
TX-000757,ACC-1056,ACC-1017,wire,85.14,EUR,DE,IT,2026-09-02,2026-09-02 10:11:12
TX-000758,ACC-1114,ACC-1073,wire,62.75,EUR,PL,ES,2026-09-02,2026-09-02 15:15:16
TX-000759,ACC-1042,ACC-1024,wire,193.88,EUR,ES,ES,2026-09-02,2026-09-02 03:20:56
TX-000760,ACC-1040,ACC-1101,card,220.99,EUR,IT,PL,2026-09-02,2026-09-02 06:39:43
TX-000761,ACC-1124,ACC-1075,wire,213.09,EUR,ES,PL,2026-09-02,2026-09-02 14:01:23
TX-000762,ACC-1089,ACC-1007,card,100.16,EUR,NL,PL,2026-09-02,2026-09-02 16:27:41
TX-000763,ACC-1088,ACC-1114,crypto,207.31,EUR,ES,PL,2026-09-02,2026-09-02 17:54:58
