TAP_FILE_ID,SENDER_PLMN,SENDER_NAME,RECIPIENT_PLMN,RECIPIENT_NAME,EVENT_TYPE,IMSI,CHARGED_UNITS,CHARGE_SDR,TAX_SDR,EVENT_DATE,EVENT_AT,SETTLEMENT_STATUS
TAP-20260902-00623,00111,Ivory Cellular,00102,Borealis Mobile,MOC,001020000000009,24,10.8517,1.6278,2026-09-02,2026-09-02 01:49:15,ACCEPTED
TAP-20260902-00624,00119,Quartz Mobile,00106,Fjord Telecom,MTC,001060000000014,29,5.5807,0.8371,2026-09-02,2026-09-02 06:07:02,ACCEPTED
TAP-20260902-00625,00112,Juniper Mobile,00101,Aurora Telecom,MOC,001010000000009,17,6.5900,0.9885,2026-09-02,2026-09-02 22:09:45,ACCEPTED
TAP-20260902-00626,00107,Granite Mobile,00108,Harbor Wireless,MTC,001080000000009,13,2.4772,0.3716,2026-09-02,2026-09-02 07:15:55,ACCEPTED
TAP-20260902-00627,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000010,7,2.9036,0.4355,2026-09-02,2026-09-02 14:18:23,ACCEPTED
TAP-20260902-00628,00119,Quartz Mobile,00106,Fjord Telecom,GPRS,001060000000012,397,4.4281,0.6642,2026-09-02,2026-09-02 14:29:08,ACCEPTED
TAP-20260902-00629,00111,Ivory Cellular,00101,Aurora Telecom,MOC,001010000000005,36,15.8356,2.3753,2026-09-02,2026-09-02 02:38:47,ACCEPTED
TAP-20260902-00630,00104,Delta Cell,00113,Kestrel Telecom,GPRS,001130000000013,884,9.1240,1.3686,2026-09-02,2026-09-02 21:39:22,ACCEPTED
TAP-20260902-00631,00111,Ivory Cellular,00101,Aurora Telecom,MOC,001010000000014,17,7.2289,1.0843,2026-09-02,2026-09-02 11:47:55,ACCEPTED
TAP-20260902-00632,00104,Delta Cell,00113,Kestrel Telecom,SMS_MO,001130000000008,2,0.1139,0.0171,2026-09-02,2026-09-02 07:12:22,ACCEPTED
TAP-20260902-00633,00106,Fjord Telecom,00119,Quartz Mobile,SMS_MO,001190000000002,7,0.4356,0.0653,2026-09-02,2026-09-02 03:21:20,ACCEPTED
TAP-20260902-00634,00112,Juniper Mobile,00107,Granite Mobile,GPRS,001070000000002,65,0.7349,0.1102,2026-09-02,2026-09-02 13:20:40,ACCEPTED
TAP-20260902-00635,00114,Lumen Wireless,00106,Fjord Telecom,SMS_MO,001060000000014,2,0.1233,0.0185,2026-09-02,2026-09-02 00:27:34,ACCEPTED
TAP-20260902-00636,00114,Lumen Wireless,00106,Fjord Telecom,MOC,001060000000011,19,7.8282,1.1742,2026-09-02,2026-09-02 07:01:35,ACCEPTED
TAP-20260902-00637,00116,Northwind Mobile,00105,Ember Networks,GPRS,001050000000013,532,6.2013,0.9302,2026-09-02,2026-09-02 17:39:13,ACCEPTED
TAP-20260902-00638,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000009,21,9.2029,1.3804,2026-09-02,2026-09-02 08:00:09,ACCEPTED
TAP-20260902-00639,00119,Quartz Mobile,00103,Cinder Wireless,MTC,001030000000014,7,1.2205,0.1831,2026-09-02,2026-09-02 21:52:38,ACCEPTED
TAP-20260902-00640,00119,Quartz Mobile,00106,Fjord Telecom,MOC,001060000000010,5,2.2369,0.3355,2026-09-02,2026-09-02 01:15:36,ACCEPTED
TAP-20260902-00641,00101,Aurora Telecom,00116,Northwind Mobile,MOC,001160000000011,9,3.7318,0.5598,2026-09-02,2026-09-02 18:13:36,ACCEPTED
TAP-20260902-00642,00108,Harbor Wireless,00107,Granite Mobile,SMS_MO,001070000000010,4,0.2474,0.0371,2026-09-02,2026-09-02 23:29:25,ACCEPTED
